"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"tau[2]",0.912761068054218,0.00619288174097057,0.900112229338233,0.908574373402831,0.913061027264378,0.917087493322586,0.925131118571093,1.01057287016315,200
"tau[3]",0.91276106805422,0.00619288174096863,0.900112229338241,0.908574373402833,0.913061027264379,0.917087493322586,0.925131118571093,1.01057287016315,200
"tau[4]",0.91276106805424,0.00619288174094932,0.900112229338321,0.908574373402859,0.913061027264393,0.917087493322594,0.925131118571095,1.01057287016314,200
"tau[5]",0.912761068054463,0.00619288174075773,0.900112229339121,0.90857437340314,0.913061027264548,0.917087493322682,0.925131118571122,1.01057287016306,200
"tau[6]",0.91276106805688,0.0061928817388607,0.900112229347127,0.90857437340622,0.913061027266336,0.917087493323753,0.925131118571476,1.01057287016234,200
"tau[7]",0.912761068083261,0.00619288172013987,0.900112229427274,0.908574373439902,0.913061027286902,0.917087493336666,0.925131118576213,1.01057287015566,200
"tau[8]",0.912761068372641,0.00619288153635046,0.900112230229579,0.908574373808313,0.913061027523456,0.917087493492407,0.925131118639479,1.01057287009548,200
"tau[9]",0.912761071562885,0.00619287974587297,0.900112238261075,0.908574377837937,0.913061030244377,0.917087495370783,0.925131119484476,1.01057286957106,200
"tau[10]",0.912761106910017,0.00619286249838077,0.900112318661322,0.908574421913372,0.913061061541277,0.917087518025692,0.925131130770591,1.01057286518366,200
"tau[11]",0.912761500508741,0.00619269907795863,0.90011312352556,0.908574904004254,0.913061421528392,0.917087791264443,0.925131281512804,1.01057283038734,200
"tau[12]",0.912765905255575,0.00619118857598007,0.900121180938913,0.908580177076514,0.913065562235897,0.917091086783473,0.925133294901693,1.01057257440882,200
"tau[13]",0.912815447654608,0.00617775838239915,0.900201850762508,0.908637857158243,0.913113192681209,0.917130835588222,0.925160187602238,1.01057089650263,200
"tau[14]",0.913375813573154,0.00606584435826583,0.90101023239157,0.909269231835403,0.913661410861785,0.917610513666885,0.925519531510044,1.01056184725119,200
"tau[15]",0.919790785286739,0.00523455892262885,0.909183745302447,0.916232838621783,0.920014853837204,0.923435636923667,0.930346049015616,1.01052739823713,200
"tau[16]",1,0,1,1,1,1,1,1,1
"v[1]",0.760447985267727,0.245623543023922,0.15714668282301,0.62486938636821,0.842100977742979,0.967125337193111,0.999410571550932,1.01581662779784,390
"v[2]",0.904303785176182,0.127231727835179,0.524838959971508,0.873248266779264,0.955050911692808,0.988395768510095,0.999934915526132,1.00950263550373,500
"v[3]",0.747390604386268,0.112660463306274,0.498355837926175,0.67365786408749,0.762434664173103,0.826261276209323,0.930588764123334,1.0035566147019,380
"v[4]",0.587952753584472,0.0394081025738359,0.510252822522708,0.562310266686325,0.590233631604424,0.614081805885404,0.660849516639563,0.998647603153366,500
"v[5]",0.351560960606821,0.0239822979706605,0.304572285894578,0.336080968229049,0.351189620068108,0.366627459469043,0.398948142597375,1.01818330075635,140
"v[6]",0.212921976516153,0.0170493141504696,0.181839222537311,0.200232995441544,0.212746864392672,0.22479747985565,0.244293817481798,1.01548814869617,160
"v[7]",0.114371633766266,0.015186158449234,0.0874995051847405,0.104129265196437,0.114280646505658,0.124407777365538,0.143556415647325,1.00525538232495,300
"v[8]",0.217065687211972,0.0264133714943282,0.169906183574277,0.199239594462756,0.21640331673208,0.233111251815009,0.273938356694011,1.00760576559176,360
"v[9]",0.339698741803826,0.0255220924374879,0.291397882774534,0.322097186307014,0.34036389721026,0.355120677175401,0.3908115650957,1.01102024301178,490
"v[10]",0.487878968041533,0.0290427536089494,0.432712802575452,0.468074695428002,0.487860244773596,0.50610153511279,0.547108096388172,0.998938943608408,500
"v[11]",0.376055897078155,0.0153012410383971,0.346361250676597,0.365686935781106,0.376247682975618,0.386374194606316,0.406720336537488,0.999846032778273,500
"v[12]",0.354882185045658,0.0122442085966107,0.330789781115464,0.347421101207242,0.354742074705114,0.363351724149863,0.378604928807066,1.00617568203217,310
"v[13]",0.22202468738093,0.01073262016576,0.199833198579654,0.214898815229527,0.222019295074635,0.228864053351357,0.243678158898199,1.00477452253611,320
"v[14]",0.499013128267825,0.113246716217908,0.28230594040115,0.430142122628306,0.497867263168479,0.578749510796992,0.710554525371977,1.01895884107373,150
"v[15]",0.108463845234397,0.0126590638803817,0.0839435415207716,0.10044437372386,0.109234699424824,0.116353714016137,0.132711036937535,1.00227915372291,480
"v[16]",0.490672068662639,0.362232305005789,0.0017967043018016,0.127564258469887,0.470311659310118,0.874918005514068,0.997978938584272,1.00829719556148,310
