Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,DNA_Sample_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6543a,6543b,0,,Female,81,AD,CWT00054249,04833-6543,1,52,F,,,637266,1,,,,,,,2017,Chinook,Spring,Washington Department of Fish & Wildlife,FALLERT CR HATCHERY,FALLERT CR 27.0017,AD Fin Clp,KALAMA R HATCH 27.0002,20190301,20190301,123524
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6544a,6544b,blank,,Female,79,AD,,04833-6544,1,52,F,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 2,6545a,6545b,blank,,Female,67,AD,,04833-6545,1,88,F,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6546a,6546b,blank,,Female,77,AD,,04833-6546,1,88,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6547a,6547b,blank,,Female,66,AD,,04833-6547,1,42,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6548a,6548b,blank,,Male,79,AD,,04833-6548,1,41,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 2,6549a,6549b,blank,,Male,83,AD,,04930-6549,1,41,F,,,,,,,12-Oct-22,6549a,6549b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 3,,,2,4,Jack,51,AD,,04931-4,1,88,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 3,,,2,4,Female,68,UM,,04931-5,1,31,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 3,,,2,4,Male,77,AD,,04931-6,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 3,,,2,4,Male,70,AD,,04931-7,1,88,D+,,,,,,,,,,,,,,,,,,,,,
